SalePrice;LotArea;BedroomAbvGr;FullBath;GarageCars
208500;785.03035;3;2;2
181500;891.8688;3;2;2
223500;1045.15875;3;2;2
140000;887.22365;3;1;3
250000;1324.79678;4;2;3
143000;1311.325845;1;1;2
307000;936.833852;3;2;2
200000;964.518946;3;2;2
129900;568.56636;2;2;2
118000;689.34026;2;1;1
129500;1040.5136;3;1;1
345000;1107.775372;4;3;3
144000;1204.766104;2;1;1
279500;989.602756;3;2;3
157000;1014.50076;2;1;1
132000;568.56636;2;1;2
149000;1044.322623;2;1;2
90000;1002.516273;2;2;2
159000;1272.306585;3;1;2
139000;702.34668;3;1;1
325300;1320.616145;4;3;3
139400;692.034447;3;1;1
230000;905.061026;3;2;2
129900;392.422272;3;1;2
154000;766.078138;3;1;1
256300;1322.00969;3;2;3
134800;668.9016;3;1;2
306000;1066.340634;3;2;3
207500;1516.269863;2;1;1
68500;587.518572;1;1;1
40000;789.6754999999999;3;1;1
149350;793.763232;3;1;1
179900;1026.485247;3;2;2
165500;980.312456;4;1;2
277500;679.399639;2;2;2
309000;1246.5724539999999;4;3;3
145000;1008.833677;3;1;2
153000;792.648396;3;1;2
109000;735.977566;3;1;1
82000;561.13412;2;2;0
160000;804.354174;3;2;2
170000;1570.525215;2;1;1
144000;852.84954;2;1;2
130250;854.7076;3;1;1
141000;738.114335;3;1;1
319900;711.451174;2;2;2
239686;1191.202266;1;1;2
249700;1030.851688;3;2;3
113000;413.975768;2;2;0
127000;719.255026;3;1;1
177000;1288.471707;3;2;2
114500;579.7147199999999;3;1;2
110000;787.074216;2;1;2
130000;662.770002;3;1;2
180500;945.288025;3;2;2
172500;245.728435;3;2;2
196500;1081.855435;3;2;2
438780;1271.098846;3;3;3
124900;668.9016;2;1;1
158000;1214.428016;3;1;2
101000;668.9016;3;1;1
202500;598.481126;2;2;2
140000;956.9009;3;2;2
219500;870.965625;3;2;2
317000;891.032673;4;2;3
180000;1848.7697;3;2;2
226000;990.810495;3;2;2
80000;428.097024;2;1;1
225000;1448.636479;3;2;2
244000;1268.218853;3;2;2
129500;705.969897;2;1;2
185000;942.129323;3;2;2
144900;947.6106;3;1;2
107400;537.90837;3;2;1
91000;148.273188;2;1;1
135750;787.352925;2;1;1
127000;802.217405;2;1;1
136500;1001.308534;4;2;0
110000;969.90732;2;1;2
193500;1207.739;4;2;1
153500;418.0635;2;2;2
245000;948.168018;3;2;3
126500;826.093476;3;1;2
168500;792.46259;3;2;2
260000;1491.929277;4;2;2
174000;1106.567633;3;2;2
164500;367.059753;2;2;2
85000;786.88841;2;1;0
123600;749.72721;3;1;0
109900;668.9016;2;1;2
98600;789.6754999999999;2;1;2
163500;1241.18408;2;1;2
133900;668.9016;4;2;2
204750;867.435311;3;2;2
185000;907.197795;3;2;2
214000;953.556392;3;2;2
94750;1014.593663;3;1;1
83000;987.094375;2;1;1
128950;865.85596;3;1;0
205000;985.050509;3;2;2
178000;855.2650179999999;3;2;2
118964;651.993254;4;2;2
198900;966.377006;3;2;3
169500;720.741474;4;1;1
250000;870.965625;3;2;2
100000;1003.3524;2;1;1
115000;557.418;2;1;1
115000;789.6754999999999;3;2;0
190000;1091.703153;3;2;2
136900;884.901075;4;2;1
180000;719.99825;3;2;2
383970;925.778395;4;2;3
217000;1950.963;3;2;2
259500;674.382877;3;2;1
176000;300.07669;2;2;2
139000;1079.161248;3;1;1
155000;793.020008;2;1;2
320000;1149.767528;5;3;3
163990;786.052283;3;2;2
180000;1993.048059;1;1;2
100000;562.99218;3;1;1
136000;879.233992;3;1;1
153900;733.190476;2;2;2
181000;1583.345829;3;2;2
84500;629.88234;2;1;0
128000;457.825984;2;2;2
87000;407.658364;3;1;0
155000;705.13377;3;1;2
150000;833.618619;3;1;2
226000;1319.2226;4;2;2
244000;1135.646272;3;2;2
150750;686.367364;3;1;2
220000;636.664259;2;2;2
180000;960.152505;3;2;2
174000;966.1912;3;2;2
143000;962.010565;3;2;1
171000;1028.43621;5;3;3
230000;842.258598;3;2;3
231500;1433.121678;3;2;2
115000;975.4815;3;1;0
260000;1081.855435;3;2;2
166000;791.53356;4;2;2
204000;960.152505;3;2;2
130000;234.301366;3;2;2
105000;568.56636;2;1;1
222500;883.043015;3;2;2
141000;696.7725;3;1;0
115000;579.7147199999999;3;1;1
122000;962.103468;3;1;2
372402;1290.515573;2;2;3
190000;1375.243109;4;2;2
235000;1254.1905;1;1;2
125000;1053.52002;4;1;1
79000;891.8688;2;1;0
109500;668.9016;2;1;2
269500;1115.114709;4;2;3
254900;1166.118456;3;2;2
320000;1800.274334;4;2;2
162500;1033.08136;3;2;2
412500;1271.656264;3;2;3
220000;1131.744346;3;2;2
103200;510.9665;1;1;0
152000;501.6762;3;2;1
127500;938.877718;4;2;0
190000;994.805324;2;1;1
325624;981.241486;3;1;3
183500;765.892332;3;2;2
228000;1548.600107;2;2;2
128500;1148.095274;2;1;2
215000;2951.52831;3;1;2
239000;492.943318;2;2;2
163000;947.331891;3;1;2
184000;1153.483648;3;2;2
243000;1171.971345;4;2;2
211000;931.724187;4;2;2
172500;1268.12595;4;2;2
501837;1618.648969;1;2;3
100000;791.53356;2;1;2
177000;196.675651;3;2;2
200100;704.947964;4;1;1
120000;841.70118;3;1;1
200000;1061.509678;3;2;2
127000;691.012514;3;1;2
475000;2132.12385;4;2;3
173000;924.106141;3;2;2
135000;967.12023;3;2;1
315000;981.98471;3;2;2
184000;694.171216;4;1;2
192000;837.706351;3;2;2
130000;234.301366;3;2;2
127000;667.04354;3;1;1
148500;211.81884;3;2;2
311872;874.774648;3;2;3
235000;2361.501357;4;2;2
104000;512.82456;5;1;0
274900;891.032673;3;2;3
140000;793.949038;2;2;2
171500;940.642875;3;2;2
112000;650.321;2;2;1
149000;412.303514;1;1;2
110000;325.1605;2;1;1
180500;1100.993453;3;2;2
143900;1270.262719;3;1;1
141000;1160.637179;3;1;1
277000;1334.458692;3;2;2
145000;766.44975;3;1;2
98000;520.628412;2;1;0
186000;968.04926;3;2;2
252678;802.68192;3;2;2
156000;1260.507904;3;1;2
161750;1012.6427;3;1;1
134450;930.051933;2;1;1
210000;785.03035;3;2;2
107000;920.297118;3;1;1
311500;1454.86098;3;1;2
167240;279.63803;2;2;2
204900;835.1979699999999;2;2;2
200000;749.5414039999999;4;2;2
179900;1066.061925;3;2;2
97000;975.4815;2;1;2
386250;1251.589216;3;2;3
112000;156.07704;3;2;1
290000;924.38485;4;2;3
106000;173.635707;2;1;1
125000;791.626463;3;1;1
192500;295.617346;2;2;2
148000;813.83028;3;1;1
403000;1406.365614;4;2;3
94500;156.07704;2;1;1
128200;989.41695;3;1;1
216500;729.381453;4;2;2
89500;156.07704;2;1;1
185500;815.038019;3;2;2
194500;878.212059;3;2;2
318000;1117.62309;3;2;3
113000;812.065123;3;1;1
262500;836.127;3;2;2
110500;360.46364;2;1;0
79000;464.515;3;1;1
120000;999.822086;3;1;1
205000;824.97864;3;2;2
241500;966.1912;3;2;2
137000;849.319226;4;2;1
140000;1050.73293;2;1;2
180000;1051.383251;3;2;2
277000;14771.577;4;2;2
76500;497.03105;3;1;0
235000;441.28925;2;2;2
173000;777.226498;3;2;2
158000;868.64305;3;2;1
145000;780.3851999999999;3;1;1
230000;811.786414;4;2;2
207500;816.710273;3;2;2
220000;818.847042;3;2;2
231500;1155.248805;3;2;2
97000;1180.053906;2;1;1
176000;1792.656288;3;1;2
276000;890.753964;3;2;3
151000;786.981313;3;1;2
130000;510.9665;3;1;2
73000;486.068496;2;1;2
175500;1123.19727;3;2;2
185000;1041.163921;3;2;2
179500;780.3851999999999;4;2;1
120500;641.0307;2;1;1
148000;735.513051;3;1;1
266000;996.663384;3;2;3
241500;3632.878912;2;1;2
290000;1092.910892;4;2;3
139000;891.8688;3;2;1
124500;772.395542;2;1;1
205000;674.847392;3;2;2
201000;854.335988;3;2;2
141000;1777.977614;2;1;2
415298;1342.44835;3;2;3
192000;929.494515;4;2;2
228500;1048.596161;3;2;2
185000;668.9016;2;2;2
207500;470.367889;2;2;2
244600;892.983636;3;2;3
179200;744.338836;2;2;2
164700;394.930653;2;2;2
159000;909.148758;3;1;2
88000;754.836875;3;1;0
122000;912.214557;3;1;1
153575;811.04319;3;1;1
233230;1450.308733;3;2;2
131000;1059.930327;3;1;1
235000;1547.671077;3;2;2
167000;891.8688;3;1;2
142500;737.371111;3;1;2
152000;1273.70013;4;1;1
239000;687.3892969999999;3;2;2
175000;1086.9651;3;1;2
158500;1300.642;3;1;1
157000;1463.22225;2;1;1
267000;1507.444078;4;2;2
205000;1273.142712;3;2;3
149900;910.4494;3;1;2
295000;1708.114558;3;3;3
305900;964.8905579999999;3;2;3
225000;1251.775022;4;2;3
89500;735.79176;3;1;0
82500;1146.608826;1;1;2
360000;1149.953334;3;2;3
165600;713.959555;3;2;2
132000;743.224;2;1;1
119900;724.6434;3;1;2
375000;19996.906235;3;2;2
178000;891.8688;3;1;2
188500;724.178885;3;2;2
260000;1208.203515;4;2;2
270000;836.127;3;2;3
260000;919.7397;4;2;3
187500;1311.325845;3;2;2
342643;1510.509877;4;3;3
354000;1124.033397;4;2;3
301000;964.33314;4;2;2
126175;540.69546;3;1;1
242000;1047.481325;5;2;2
87000;464.515;2;1;2
324000;1007.625938;1;1;2
145250;1077.6748;3;1;1
214500;1104.430864;5;2;2
78000;594.765006;3;1;1
139000;759.574928;3;1;1
284000;989.881465;3;2;3
207000;761.618794;2;2;2
192000;840.028926;3;2;2
228950;15297.40798;3;2;2
377426;1315.227771;3;2;3
214000;848.668905;3;2;2
202500;1314.1129349999999;3;2;2
155000;1151.9972;3;1;1
202900;1318.386473;4;2;2
82000;780.3851999999999;2;1;1
87500;793.763232;2;2;2
266000;822.098647;2;2;2
85000;240.804576;3;1;1
140200;597.8308049999999;3;1;1
151500;1186.557116;2;1;1
157500;1635.0928;3;2;2
154000;227.426544;2;2;2
437154;1898.101193;4;2;3
318061;726.50146;2;2;2
190000;489.691713;2;1;2
95000;843.930852;3;1;1
105900;791.53356;2;1;2
140000;780.3851999999999;2;1;1
177500;1045.065847;3;2;2
173000;859.166944;3;2;2
134000;392.422272;3;1;2
130000;643.81779;3;1;1
280000;1115.857933;3;2;2
156000;700.48862;2;1;2
145000;849.505032;3;1;1
198500;678.284803;4;3;2
118000;156.07704;2;1;1
190000;1746.5764;3;2;2
147000;993.13307;3;1;1
159000;882.5785;3;1;2
165000;850.06245;3;1;1
132000;724.6434;2;1;1
162000;913.23649;3;1;2
172400;754.465263;3;2;2
134432;1590.49936;4;2;2
125000;666.579025;2;1;1
123000;987.930502;3;1;1
219500;761.8046;4;2;2
148000;821.819938;2;1;2
340000;1035.218129;4;3;2
394432;1058.536782;1;1;3
179000;754.651069;3;2;2
127000;464.515;3;2;1
187750;668.9016;2;2;2
213500;858.888235;3;2;2
76000;836.127;2;1;2
240000;4933.799621;3;2;2
192000;295.617346;2;2;2
81000;781.31423;5;1;0
125000;668.9016;3;1;1
191000;871.615946;3;2;2
426000;1158.872022;3;2;3
119000;780.849715;4;1;1
215000;1134.252727;3;2;2
106500;774.718117;3;1;1
100000;691.755738;2;1;0
109000;941.479002;2;1;1
129000;889.174613;3;1;1
123000;668.9016;2;1;2
169500;705.13377;4;2;1
67000;833.061201;2;1;1
241000;754.836875;2;2;2
245500;1390.107589;1;1;2
164990;814.480601;3;2;2
108000;947.6106;2;1;1
258000;1123.19727;4;2;2
168000;962.846692;3;2;2
150000;928.1938729999999;3;2;2
115000;973.62344;3;1;1
177000;1447.057128;4;2;1
280000;1314.949062;3;2;3
339750;1003.3524;3;2;3
60000;889.174613;3;1;1
145000;3219.08895;3;1;2
222000;409.051909;2;2;2
115000;832.41088;2;1;2
228000;1043.114884;3;2;3
181134;826.743797;3;2;2
149500;728.731132;3;1;2
239000;2082.88526;4;2;3
126000;758.08848;3;1;1
142000;785.03035;3;1;1
206300;655.89518;2;2;4
215000;1545.441405;3;2;2
113000;2020.64025;2;1;2
315000;854.7076;4;2;3
139000;836.127;2;1;1
135000;313.826334;3;1;1
275000;1189.1584;2;2;2
109008;798.315479;3;1;1
195400;628.210086;2;2;2
175000;1064.389671;3;2;2
85400;156.07704;2;1;1
79900;518.956158;4;1;0
122500;178.37376;2;1;2
181000;1006.9756169999999;3;2;2
81000;175.58667;1;1;0
212000;990.996301;3;2;2
116000;408.7732;2;1;2
119000;557.418;2;1;1
90350;397.62484;2;1;1
110000;1147.723662;3;1;2
555000;1433.586193;2;2;3
118000;1124.869524;4;2;0
162900;579.7147199999999;3;2;2
172500;364.365566;2;2;3
210000;812.90125;4;2;2
127500;915.559065;3;1;2
190000;1532.156276;2;2;2
199900;1041.814242;4;2;2
119500;798.9658;3;2;1
120000;557.418;2;1;1
110000;528.060652;2;1;1
280000;6573.909183;2;2;2
204000;864.276609;3;2;2
210000;836.127;3;2;2
188000;863.719191;4;2;2
175500;891.8688;3;1;2
98000;424.659613;4;1;3
256000;4944.947981;2;1;2
161000;473.8053;3;1;1
110000;651.714545;3;1;1
263435;743.595612;3;2;2
155000;668.9016;3;1;2
62383;769.329743;3;1;1
188700;1113.721164;3;1;1
124000;783.17229;3;2;0
178740;285.398016;2;2;2
167000;987.373084;2;1;2
146500;880.7204399999999;3;1;1
250000;1061.695484;3;2;3
187000;863.161773;3;2;2
212000;633.59846;1;1;2
190000;1110.376656;3;2;2
148000;341.418525;2;1;2
440000;1391.408231;2;2;3
251000;495.17298999999997;2;2;2
132500;787.81744;2;1;2
208900;1219.351875;3;2;2
380000;1272.120779;3;2;3
297000;988.209211;3;2;3
89471;550.450275;2;1;2
326000;1489.513799;3;2;3
374000;1100.528938;2;2;3
155000;232.2575;4;1;1
164000;418.0635;2;2;2
132500;720.741474;3;1;1
147000;891.8688;3;1;1
156000;955.878967;3;1;2
175000;1137.411429;3;2;2
160000;1003.3524;3;2;2
86000;141.769978;1;1;1
115000;247.58649499999999;3;1;1
133000;881.64947;3;1;1
172785;1447.242934;3;2;2
155000;736.813693;3;1;1
91300;537.350952;2;1;1
34900;731.982737;2;1;0
430000;1179.124876;4;3;2
184000;847.27536;4;2;1
130000;724.6434;3;1;1
120000;700.024105;2;1;1
113000;175.58667;3;1;1
226700;910.728109;3;2;2
140000;851.92051;2;1;2
289000;1449.472606;1;2;2
147000;214.420124;3;2;2
124500;705.691188;4;2;2
215000;887.595262;3;2;2
208300;730.403386;2;2;2
161000;891.8688;3;2;2
124500;891.8688;3;1;1
164900;1352.574777;2;1;1
202665;630.997176;2;2;2
129900;845.4173;3;1;2
134000;853.499861;3;1;2
96500;984.214382;2;1;1
402861;1135.27466;3;2;3
158000;970.650544;3;2;2
265000;948.353824;3;2;3
211000;885.458493;3;2;2
234000;1014.314954;3;1;1
106250;1003.3524;3;2;0
150000;1113.721164;3;1;1
159000;464.515;3;2;2
184750;3724.852882;3;3;3
315750;1095.047661;3;2;3
176000;696.7725;3;2;2
132000;1235.6099;2;1;1
446261;1388.714044;3;2;3
86000;845.231494;2;1;0
200624;3034.955204;4;3;2
175000;947.6106;3;2;2
128000;571.817965;3;2;2
107500;668.9016;2;1;1
39300;464.515;1;1;0
178000;841.329568;3;2;2
107500;650.321;3;1;0
188000;829.066372;3;2;2
111250;1183.119705;3;1;2
158000;1073.3083589999999;3;1;1
272000;1061.230969;3;2;2
315000;1356.476703;2;2;3
248000;1021.933;4;2;3
213250;942.03642;3;2;2
133000;377.000374;1;1;1
179665;1589.012912;3;2;2
229000;1285.498811;4;2;3
210000;811.693511;3;1;2
129500;672.989332;2;1;2
125000;765.056205;2;1;2
263000;870.965625;4;2;2
140000;375.606829;2;2;2
112500;557.418;3;1;1
255500;1035.496838;3;2;3
108000;815.409631;2;2;2
284000;987.094375;3;2;3
113000;592.72114;2;1;1
141000;1379.60955;2;1;1
108000;1025.64912;3;1;1
175000;2031.974416;3;2;2
234000;296.917988;2;2;2
121500;1053.612923;3;1;2
170000;929.95903;2;1;2
108000;1292.002021;3;1;0
185000;2023.42734;4;2;2
268000;1239.883438;4;2;2
128000;637.128774;4;1;1
325000;1040.327794;4;2;3
214000;944.916413;3;2;2
316600;1145.215281;1;1;2
135960;653.293896;2;1;2
120000;681.164796;2;1;1
224500;1222.510577;3;2;2
170000;925.964201;3;2;2
139000;975.4815;3;1;1
118500;787.81744;2;1;1
145000;584.545676;3;2;1
164500;1094.118631;3;1;2
146000;334.822412;2;2;2
131500;1128.77145;4;2;1
181900;1354.990255;3;1;2
253293;1180.239712;3;2;3
118500;1100.064423;3;1;0
325000;1254.1905;3;3;2
133000;568.56636;3;1;1
369900;1063.089029;2;2;3
130000;953.835101;2;1;1
137000;811.97222;2;1;2
143000;2331.400785;1;1;1
79500;845.4173;2;1;1
185900;772.95296;3;2;2
451950;1252.146634;3;2;3
138000;613.1598;2;1;2
140000;412.024805;1;1;2
110000;742.29497;3;1;1
319000;1049.989706;3;2;3
114504;334.4508;3;1;1
217500;1206.252552;3;2;2
151000;181.16085;3;2;2
275000;1015.151081;3;2;2
141000;836.127;3;1;1
220000;932.839023;3;2;2
151000;295.617346;2;2;2
221000;1189.437109;3;2;2
205000;1263.4808;3;2;2
152000;1157.942992;3;1;2
225000;724.6434;3;3;1
359100;1130.443704;4;2;2
118500;737.928529;3;1;1
313000;1026.57815;3;2;3
148000;965.726685;3;2;2
261500;1104.152155;3;2;2
147000;780.571006;3;1;0
75500;138.518373;1;1;0
137500;817.5464;3;1;2
183200;730.310483;3;2;2
105500;671.409981;2;1;2
314813;1086.407682;3;2;3
305000;1137.504332;4;2;3
67000;766.263944;2;1;0
240000;1003.3524;4;2;2
135000;656.266792;3;1;2
168500;196.675651;2;2;2
165150;966.1912;4;1;2
160000;929.03;3;1;2
139900;1146.608826;3;1;1
153000;891.8688;3;1;1
135000;1078.232218;5;1;2
168500;837.98506;3;1;2
124000;836.127;3;1;1
209500;426.42477;2;2;2
82500;1105.5457;3;2;2
139400;859.35275;3;1;1
60000;568.56636;1;1;0
93000;557.418;3;2;1
85000;815.409631;2;1;0
264561;369.939746;1;2;3
274000;1177.731331;1;1;2
226000;654.96615;3;2;2
345000;1287.63558;4;2;2
152000;1002.702079;4;2;2
370878;853.499861;2;2;3
143250;978.26859;3;1;2
98300;668.9016;3;1;2
155000;971.022156;3;1;2
155000;715.3531;4;1;2
84500;179.860208;1;1;0
205950;754.836875;3;2;2
108000;843.930852;4;1;1
191000;812.90125;2;2;2
135000;958.75896;3;1;1
350000;969.628611;2;2;3
88000;156.07704;3;1;1
145500;929.680321;3;1;1
149000;668.9016;3;1;1
97500;1626.081209;3;1;1
167000;923.177111;3;1;2
197900;1150.510752;3;2;2
402000;4328.257867;4;2;3
110000;1259.76468;2;1;2
137500;930.1448359999999;3;2;2
423000;1941.301088;1;1;3
230500;1039.956182;3;2;2
129000;1714.06035;3;2;2
193500;754.836875;3;2;2
168000;1316.900025;3;1;2
137500;1077.6748;2;1;1
173500;802.031599;3;2;2
103600;615.853987;3;2;1
165000;1045.15875;3;1;2
257500;1341.705126;3;2;2
140000;854.7076;3;1;1
148500;212.654967;3;2;2
87000;891.8688;4;2;3
109500;838.170866;2;1;1
372500;1100.343132;3;2;3
128500;923.920335;3;1;2
143000;744.338836;2;2;1
159434;418.0635;3;1;1
173000;268.210961;2;1;2
285000;1044.972944;3;2;3
221000;1557.98331;4;2;2
207500;470.274986;3;2;2
227875;948.2609209999999;3;3;2
148800;474.269815;2;2;2
392000;751.492367;2;2;2
194700;703.926031;2;2;2
141000;411.188678;1;1;2
755000;2000.666105;4;3;3
335000;2432.014734;4;2;2
108480;501.6762;2;1;1
141500;568.56636;3;1;2
176000;1283.083333;2;2;2
89000;557.418;2;1;1
123500;596.43726;2;1;1
138500;785.03035;3;1;1
196000;397.810646;2;2;2
312500;1331.392893;3;2;3
140000;891.8688;3;1;2
361919;1155.5275139999999;4;2;3
140000;708.84989;4;2;2
213000;780.3851999999999;3;2;2
55000;520.2568;3;2;0
302000;10697.687547;2;2;2
254000;579.7147199999999;2;2;2
179540;837.799254;3;2;2
109900;665.3712859999999;3;1;1
